day;evento;edam_ecne_eplu;edam_ecne_eplu_diff;edam_ecor_emcn;edam_ecor_emcn_diff;edam_emsg_eplu;edam_emsg_eplu_diff;edam_epdn_ecne;edam_epdn_ecne_diff;edam_epdn_emcn;edam_epdn_emcn_diff;eint_ecpn_emgl;eint_ecpn_emgl_diff;eint_esln_emgl;eint_esln_emgl_diff;eint_esln_espc;eint_esln_espc_diff;emeg_ecpn_emgl;emeg_ecpn_emgl_diff;emfn_ecor_ecri;emfn_ecor_ecri_diff;emfn_ecor_emcn;emfn_ecor_emcn_diff;emfn_emcn_epdn;emfn_emcn_epdn_diff;epdn_ecne_ecpn;epdn_ecne_ecpn_diff;epdn_eint_ecpn;epdn_eint_ecpn_diff;epdn_eint_espc;epdn_eint_espc_diff;epdn_emfn_espc;epdn_emfn_espc_diff;eplu_ecne_ecpn;eplu_ecne_ecpn_diff;eplu_emeg_ecpn;eplu_emeg_ecpn_diff;eplu_emeg_emal;eplu_emeg_emal_diff;eplu_emsg_emal;eplu_emsg_emal_diff
02/05/2019;1;59,645;0,032;-8,696;0,0195;-0,4395;0,01475;1,602;-0,0885;-34,962;0,3415;33,417;-0,117;-18,516;-0,155;-1,186;0,0035;-33,804;-0,0235;25,079;0,6325;-3,262;0,064;-22,792;0,2785;11,227;-0,358;267,66;-0,3215;136,179;0,0915;37,287;0,1365;61,14;0,083;20,289;0,086;-4,165375;0,0351875;-8,54275;0,019875
03/05/2019;1;59,66633333;0,031999995;-8,737;-0,023;-0,429666667;0,01475;1,775;0,145;-35,949;-0,8745;33,599;0,143;-18,568;-0,1265;-1,271;-0,0855;-33,791;0,027;25,993;1,1065;-3,412;-0,129;-23,821;-0,9445;11,357;0,0315;268,182;0,413;136,367;0,242;36,655;-0,5805;61,19533333;0,082999995;20,34633333;0,085999995;-4,141916667;0,035187499;-8,5295;0,019875
04/05/2019;1;59,68766667;0,032000005;-8,705;0,0115;-0,419833333;0,014750001;2,082;0,3935;-36,51;-1,0545;33,728;0,22;-18,515;0,027;-1,268;-0,0395;-33,792;0,0055;26,945;1,409;-3,493;-0,156;-24,277;-0,9705;11,774;0,482;268,603;0,682;136,557;0,284;36,639;-0,332;61,25066667;0,083000005;20,40366667;0,086000005;-4,118458333;0,035187501;-8,51625;0,019875
05/05/2019;1;59,709;0,032;-8,636;0,085;-0,41;0,01475;2,607;0,6785;-35,632;0,5975;33,924;0,2605;-18,398;0,1435;-1,201;0,0685;-33,651;0,1405;26,722;0,253;-3,54;-0,0875;-23,789;0,26;11,602;0,0365;268,813;0,4205;136,644;0,182;36,49;-0,157;61,306;0,083;20,461;0,086;-4,095;0,0351875;-8,503;0,019875
22/05/2019;0;79,9385;-0,20685;-9,619;0,7055;1,0315;-0,00675;2,349;-0,3655;-32,97;-1,144;34,614;-0,1645;-17,905;0,217;-1,177;0,126;-32,091;-0,061;27,017;0,435;-4,678;1,046;-21,996;-0,223;12,371;0,0875;268,905;-0,2945;136,882;-0,061;37,689;0,3625;84,6665;-0,22635;19,90125;0,013575;-6,27525;0,037725;-10,8405;0,02775
23/05/2019;0;79,8006;-0,20685;-9,417;0,451;1,027;-0,00675;2,107;-0,3725;-33,008;-0,547;34,584;-0,087;-17,81;0,1715;-1,372;-0,172;-32,185;-0,1085;26,856;-0,0425;-4,257;0,8065;-21,792;0,0635;12,44;0,0925;268,914;-0,0875;136,406;-0,5275;38,011;0,3945;84,5156;-0,22635;19,9103;0,013575;-6,2501;0,037725;-10,822;0,02775
24/05/2019;0;79,6627;-0,20685;-9,003;0,515;1,0225;-0,00675;1,918;-0,31;-33,273;-0,284;34,408;-0,191;-17,633;0,2245;-0,999;0,2755;-32,091;0,047;26,876;-0,0605;-3,758;0,7095;-21,765;0,129;12,433;0,0275;268,551;-0,3585;136,694;0,05;38,198;0,348;84,3647;-0,22635;19,91935;0,013575;-6,22495;0,037725;-10,8035;0,02775
25/05/2019;0;79,5248;-0,20685;-8,769;0,441;1,018;-0,00675;1,586;-0,4265;-33,885;-0,7445;34,459;-0,037;-17,489;0,2325;-0,865;0,3205;-32,244;-0,106;26,838;-0,028;-3,445;0,5625;-22,188;-0,4095;12,642;0,2055;268,493;-0,2395;136,714;0,164;38,066;-0,0385;84,2138;-0,22635;19,9284;0,013575;-6,1998;0,037725;-10,785;0,02775
26/05/2019;0;79,3869;-0,20685;-9,584;-0,698;1,0135;-0,00675;1,478;-0,274;-34,572;-0,993;34,476;0,0425;-17,483;0,078;-0,622;0,31;-32,404;-0,2365;27,001;0,144;-3,193;0,4085;-21,616;0,3605;12,722;0,1845;268,53;0,008;137,154;0,45;38,319;0,187;84,0629;-0,22635;19,93745;0,013575;-6,17465;0,037725;-10,7665;0,02775
27/05/2019;0;79,249;-0,20685;-8,767;0,4095;1,009;-0,00675;0,438;-1,094;-36,359;-2,1305;34,651;0,1835;-17,451;0,035;-0,701;0,0425;-32,317;0,007;27,731;0,8115;-1,864;1,455;-22,435;-0,533;12,272;-0,41;268,456;-0,0555;137,09;0,156;38,072;-0,1205;83,912;-0,22635;19,9465;0,013575;-6,1495;0,037725;-10,748;0,02775
